Logradouro,Bairro,Cidade,UF,CEP
Alameda Ipiranga - até 176 - lado par,Rocio Grande,São Francisco do Sul,SC,89331-120
Avenida das Rosas - até 99998 - lado par,Rocio Grande,São Francisco do Sul,SC,89331-451
Avenida das Rosas - até 99999 - lado ímpar,Rocio Grande,São Francisco do Sul,SC,89331-454
Avenida Klaus Foerster,Rocio Grande,São Francisco do Sul,SC,89331-430
Avenida Nereu Ramos - até 289 - lado ímpar,Rocio Grande,São Francisco do Sul,SC,89331-123
Avenida Nereu Ramos - de 291/292 ao fim,Rocio Grande,São Francisco do Sul,SC,89331-260
Avenida Nogueira,Rocio Grande,São Francisco do Sul,SC,89331-156
Rodovia Olívio Nóbrega,Rocio Grande,São Francisco do Sul,SC,89331-183
Rua Agenor Silva,Rocio Grande,São Francisco do Sul,SC,89331-231
Rua Antônio Machado - até 99998/99999,Rocio Grande,São Francisco do Sul,SC,89331-207
Rua Armando Pacheco,Rocio Grande,São Francisco do Sul,SC,89331-213
Rua Augusto Hermam Ludvig,Rocio Grande,São Francisco do Sul,SC,89331-198
Rua Braz Sebastião Miano - até 99999 - lado ímpar,Rocio Grande,São Francisco do Sul,SC,89331-263
Rua das Alfazemas,Rocio Grande,São Francisco do Sul,SC,89331-439
Rua das Azaléias,Rocio Grande,São Francisco do Sul,SC,89331-460
Rua das Begonias,Rocio Grande,São Francisco do Sul,SC,89331-433
Rua das Camélias,Rocio Grande,São Francisco do Sul,SC,89331-396
Rua das Dálias,Rocio Grande,São Francisco do Sul,SC,89331-399
Rua das Hortências,Rocio Grande,São Francisco do Sul,SC,89331-466
Rua das Madressilvas,Rocio Grande,São Francisco do Sul,SC,89331-390
Rua das Magnólias,Rocio Grande,São Francisco do Sul,SC,89331-472
Rua das Tulipas,Rocio Grande,São Francisco do Sul,SC,89331-393
Rua do Martelo,Rocio Grande,São Francisco do Sul,SC,89331-165
Rua dos Botões de Ouro,Rocio Grande,São Francisco do Sul,SC,89331-436
Rua dos Delfinos,Rocio Grande,São Francisco do Sul,SC,89331-402
Rua dos Dentes de Leao,Rocio Grande,São Francisco do Sul,SC,89331-405
Rua dos Geranios,Rocio Grande,São Francisco do Sul,SC,89331-408
Rua dos Girassóis,Rocio Grande,São Francisco do Sul,SC,89331-463
Rua dos Jasmins,Rocio Grande,São Francisco do Sul,SC,89331-457
Rua dos Lírios,Rocio Grande,São Francisco do Sul,SC,89331-469
Rua Doutor Manoel Antonio Bueno,Rocio Grande,São Francisco do Sul,SC,89331-138
Rua Emmanuel Gomes,Rocio Grande,São Francisco do Sul,SC,89331-192
Rua Francisco Wolke,Rocio Grande,São Francisco do Sul,SC,89331-153
Rua Frei Martinho,Rocio Grande,São Francisco do Sul,SC,89331-228
Rua Gertrudes Sanches Lunardon,Rocio Grande,São Francisco do Sul,SC,89331-204
Rua João Bonifácio Corrêa - até 99998/99999,Rocio Grande,São Francisco do Sul,SC,89331-180
Rua João Mór Vieira,Rocio Grande,São Francisco do Sul,SC,89331-219
Rua João Pereira Liberato,Rocio Grande,São Francisco do Sul,SC,89331-225
Rua Joinville - até 999/1000,Rocio Grande,São Francisco do Sul,SC,89331-186
Rua Jordão Cantídio da Silva - até 256/257,Rocio Grande,São Francisco do Sul,SC,89331-287
Rua Jordão Cantídio da Silva - de 258/259 ao fim,Rocio Grande,São Francisco do Sul,SC,89331-281
Rua Jorge da Costa,Rocio Grande,São Francisco do Sul,SC,89331-158
Rua José Justino da Silva,Rocio Grande,São Francisco do Sul,SC,89331-493
Rua José Justino Rosa,Rocio Grande,São Francisco do Sul,SC,89331-222
Rua Leônidas Branco - até 225/226,Rocio Grande,São Francisco do Sul,SC,89331-129
Rua Levino Cabral Moreira,Rocio Grande,São Francisco do Sul,SC,89331-216
Rua Maria Alves Mendes Cardoso,Rocio Grande,São Francisco do Sul,SC,89331-499
Rua Maria Paun,Rocio Grande,São Francisco do Sul,SC,89331-269
Rua Mário Roberto Robaina - até 99998 - lado par,Rocio Grande,São Francisco do Sul,SC,89331-141
Rua Norberto Nunes da Silva,Rocio Grande,São Francisco do Sul,SC,89331-323
Rua Professor Aldo Possamai, São José do Acaraí, São Francisco do Sul, SC, 89330-348
Rua Professor Gil Fernandes, São José do Acaraí, São Francisco do Sul, SC, 89330-291
Rua Rodrigues Cavalinho, São José do Acaraí, São Francisco do Sul, SC, 89330-339
Rua Rosa Lilia de Oliveira, São José do Acaraí, São Francisco do Sul, SC, 89330-243
Rua Sidenei Francisco Campos, São José do Acaraí, São Francisco do Sul, SC, 89330-462
Rua Silvestre Malaquias, São José do Acaraí, São Francisco do Sul, SC, 89330-477
Rua Tranquilino Furtunato Alves, São José do Acaraí, São Francisco do Sul, SC, 89330-237
Rua Vagner Vicente da Costa - Galego, São José do Acaraí, São Francisco do Sul, SC, 89330-234
Rua Vereadora Ruth Nobrega Matinez, São José do Acaraí, São Francisco do Sul, SC, 89330-240
Rua Vicente Rampellotti, São José do Acaraí, São Francisco do Sul, SC, 89330-465
Rua Vicente Souza de Oliveira, São José do Acaraí, São Francisco do Sul, SC, 89330-249
Servidão Ademar Malaquias, São José do Acaraí, São Francisco do Sul, SC, 89330-276
